Mrittika Dol,Bhumi,Bunot,N,P,K,S,Z,B,Crop
Chandina,mh,1,0.073,3.23,0.1,26.73,0.23,0.74,Mugg
Chandina,mh,1,0.106,1.26,0.16,31.84,0.46,0.62,Mugg
Chandina,mh,1,0.061,11.26,0.11,35.85,0.27,0.78,Mugg
Chandina,mh,1,0.1,16.44,0.11,33.29,0.52,0.7,Mugg
Chandina,mh,1,0.096,2.85,0.14,42.23,0.65,0.66,Mugg
Chandina,mh,1,0.094,4.89,0.14,43.99,0.32,0.73,Mugg
Chandina,mh,1,0.093,8.39,0.18,34.93,0.82,0.98,Mugg
Chandina,mh,1,0.123,10.12,0.17,43.62,0.5,0.81,Mugg
Chandina,mh,1,0.166,7.21,0.17,42.47,1.01,0.84,Mugg
Chandina,mh,1,0.071,3.6,0.13,31.56,0.51,0.49,Mugg
Chandina,mh,1,0.131,4.65,0.18,39.47,0.63,0.81,Mugg
Chandina,mh,1,0.133,1.14,0.14,40.51,0.48,0.89,Mugg
Chandina,mh,1,0.069,18.27,0.16,33.43,0.67,0.55,Mugg
Chandina,mh,1,0.113,1.11,0.12,37.25,0.44,0.84,Mugg
Chandina,mh,1,0.097,4.99,0.2,44.59,0.58,0.9,Mugg
Chandina,mh,1,0.099,2.69,0.1,48.23,0.63,0.58,Mugg
Chhilania,mh,2,0.048,8.33,0.25,137.91,0.53,0.92,Rosun
Chhilania,mh,2,0.078,9.19,0.16,35.31,0.81,0.68,Mugg
Chhilania,mh,2,0.105,4.97,0.18,51.84,0.37,0.73,Mugg
Chhilania,mh,2,0.077,5.44,0.2,112.24,1.02,1,Rosun
Chandina,mh,1,0.131,4.65,0.18,39.47,0.63,0.81,Mugg
Chandina,mh,1,0.133,1.14,0.14,40.51,0.48,0.89,Mugg
Chandina,mh,1,0.149,5.7,0.31,32.71,0.91,0.78,Mugg
Chandina,mh,1,0.088,2.54,0.22,45.49,0.62,0.78,Mugg
Chandina,mh,1,0.103,1.41,0.19,38.69,0.54,0.69,Mugg
Chandina,mh,1,0.153,6.07,0.18,39.4,0.77,0.71,Mugg
Chandina,mh,1,0.089,2.8,0.19,37.74,1.02,0.58,Mugg
Chhilania,mh,1,0.049,13.78,0.11,36.64,0.58,0.62,Mugg
Chhilania,mh,1,0.139,10.07,0.26,45.11,1,0.61,Mugg
Debidwar,mh,1,0.067,15.47,0.17,38.1,0.66,0.6,Mugg
Faridganj,mh,1,0.097,5.46,0.19,94.62,1.11,0.61,Rosun
Faridganj,mh,1,0.048,8.7,0.24,288.51,0.44,0.66,Rosun
Faridganj,mh,1,0.037,9.23,0.25,71.73,1.47,0.67,Rosun
Faridganj,mh,1,0.051,10.21,0.24,33.67,1.14,0.68,Mugg
Chandina,mh,1,0.121,4.41,0.17,37.5,0.42,0.83,Mugg
Chandina,mh,1,0.1,3.07,0.14,38.84,0.55,0.67,Mugg
Ramgati,mh,1,0.09,2.12,0.15,31.09,0.6,0.68,Mugg
Ramgati,mh,1,0.116,2.72,0.18,104.61,2.09,0.59,Rosun
Ramgati,mh,1,0.109,1.78,0.14,64.04,0.43,0.6,Rosun
Ramgati,mh,1,0.087,2.23,0.12,31.51,0.36,0.59,Mugg
Ramgati,mh,1,0.105,5.01,0.16,151,0.59,0.4,Rosun
Ramgati,mh,1,0.084,4.37,0.07,39.01,0.41,0.64,Mugg
Ramgati,mh,1,0.104,3.87,0.2,42.03,1.13,0.64,Mugg
Ramgati,mh,1,0.099,6.17,0.11,38.26,0.4,0.07,Mugg
Ramgati,mh,1,0.104,3.87,0.2,42.03,1.13,0.64,Mugg
Ramgati,mh,1,0.099,6.17,0.11,38.26,0.4,0.07,Mugg
Ramgati,mh,1,0.1,1.82,0.07,26.32,0.57,0.68,Mugg
Ramgati,mh,1,0.128,10.68,0.15,40.7,0.88,0.56,Mugg
Ramgati,mh,1,0.086,6.84,0.27,84.83,1.97,0.68,Rosun
Ramgati,mh,1,0.089,1.24,0.19,41.2,0.5,0.63,Mugg
Ramgati,mh,1,0.044,14.2,0.06,31.4,0.79,0.58,Mugg
Ramgati,mh,1,0.087,4.78,0.13,54.49,0.58,0.77,Mugg
Ramgati,mh,1,0.103,1.8,0.25,46.58,1.61,0.62,Mugg
Ramgati,mh,1,0.105,7.38,0.19,54.65,0.73,0.65,Mugg
Ramgati,mh,1,0.13,1.14,0.15,46.25,0.46,0.77,Mugg
Ramgati,mh,1,0.08,6.75,0.2,219.29,0.56,0.89,Rosun
Ramgati,mh,1,0.094,5.19,0.11,69.16,0.51,0.63,Rosun
Ramgati,mh,1,0.102,3.35,0.32,146.16,0.98,0.98,Rosun
Ramgati,mh,1,0.059,1.63,0.3,84.31,1.85,0.64,Rosun
Ramgati,mh,1,0.088,6.06,0.2,157.63,0.48,0.71,Rosun
Ramgati,mh,1,0.101,3.67,0.23,116.23,0.89,0.8,Rosun
Ramgati,mh,1,0.106,3.11,0.19,172.42,0.75,0.85,Rosun
Ramgati,mh,1,0.122,1.26,0.25,71.88,0.87,0.68,Rosun
Hatia,mh,1,0.076,9.98,0.31,30.09,1.13,0.86,Mugg
Ramgati,mh,1,0.093,9.7,0.22,41.4,0.48,0.62,Mugg
Ramgati,mh,1,0.122,1.26,0.25,71.88,0.87,0.68,Rosun
Hatia,mh,2,0.076,9.98,0.31,30.09,1.13,0.86,Mugg
Ramgati,mh,1,0.093,9.7,0.22,41.4,0.48,0.62,Mugg
Ramgati,mh,1,0.107,11.27,0.27,80.37,1.95,0.73,Rosun
Ramgati,mh,1,0.087,4.78,0.13,54.49,0.58,0.77,Mugg
Ramgati,mh,1,0.103,1.8,0.25,46.58,1.61,0.62,Mugg
Ramgati,mh,1,0.105,7.38,0.19,54.65,0.73,0.65,Mugg
Ramgati,mh,1,0.13,1.14,0.15,46.25,0.46,0.77,Mugg
Ramgati,mh,1,0.08,6.75,0.2,219.29,0.56,0.89,Rosun
Ramgati,mh,1,0.094,5.19,0.11,69.16,0.51,0.63,Rosun
Ramgati,mh,1,0.102,3.35,0.32,146.16,0.98,0.98,Rosun
Ramgati,mh,1,0.059,1.63,0.3,84.31,1.85,0.64,Rosun
Ramgati,mh,1,0.088,6.06,0.2,157.63,0.48,0.71,Rosun
Ramgati,mh,1,0.101,3.67,0.23,116.23,0.89,0.8,Rosun
Ramgati,mh,1,0.106,3.11,0.19,172.42,0.75,0.85,Rosun
Ramgati,mh,1,0.122,1.26,0.25,71.88,0.87,0.68,Rosun
Hatia,mh,2,0.076,9.98,0.31,30.09,1.13,0.86,Mugg
Ramgati,mh,1,0.093,9.7,0.22,41.4,0.48,0.62,Mugg
Ramgati,mh,1,0.107,11.27,0.27,80.37,1.95,0.73,Rosun
Hatia,mh,2,0.068,5.48,0.22,35.94,0.76,0.93,Mugg
Ramgati,mh,1,0.087,4.78,0.13,54.49,0.58,0.77,Mugg
Ramgati,mh,1,0.103,1.8,0.25,46.58,1.61,0.62,Mugg
Ramgati,mh,1,0.105,7.38,0.19,54.65,0.73,0.65,Mugg
Ramgati,mh,1,0.13,1.14,0.15,46.25,0.46,0.77,Mugg
Ramgati,mh,1,0.08,6.75,0.2,219.29,0.56,0.89,Rosun
Ramgati,mh,1,0.094,5.19,0.11,69.16,0.51,0.63,Rosun
Ramgati,mh,1,0.102,3.35,0.32,146.16,0.98,0.98,Rosun
Ramgati,mh,1,0.059,1.63,0.3,84.31,1.85,0.64,Rosun
Ramgati,mh,1,0.088,6.06,0.2,157.63,0.48,0.71,Rosun
Ramgati,mh,1,0.101,3.67,0.23,116.23,0.89,0.8,Rosun
Ramgati,mh,1,0.106,3.11,0.19,172.42,0.75,0.85,Rosun
Ramgati,mh,1,0.122,1.26,0.25,71.88,0.87,0.68,Rosun
Hatia,mh,2,0.076,9.98,0.31,30.09,1.13,0.86,Mugg
Ramgati,mh,1,0.093,9.7,0.22,41.4,0.48,0.62,Mugg
Ramgati,mh,1,0.107,11.27,0.27,80.37,1.95,0.73,Rosun
Hatia,mh,2,0.068,5.48,0.22,35.94,0.76,0.93,Mugg
Hatia,mh,2,0.123,2.5,0.2,74.98,1.12,0.67,Rosun
Hatia,mh,2,0.096,2.84,0.14,56.72,0.43,0.69,Mugg
Hatia,mh,2,0.088,3.17,0.24,93.38,1.36,0.66,Rosun
Hatia,mh,2,0.093,10.63,0.17,173.82,0.62,0.71,Rosun
Hatia,mh,2,0.087,8.78,0.2,93.69,0.76,0.82,Rosun
Hatia,mh,2,0.065,8.54,0.26,25.07,0.87,0.97,Mugg
Hatia,mh,2,0.085,11.03,0.23,78.34,0.66,0.85,Rosun
Hatia,mh,2,0.163,8.48,0.26,182.81,1.12,0.87,Rosun
Ramgati,mh,1,0.068,2.74,0.18,66.65,0.73,0.75,Rosun
Ramgati,mh,1,0.074,6.81,0.24,147.61,1.14,0.87,Rosun
Ramgati,mh,1,0.033,5.13,0.18,32.93,0.61,0.92,Mugg
Ramgati,mh,1,0.071,11.9,0.31,238.01,0.69,0.84,Rosun
Ramgati,mh,1,0.053,7.62,0.29,33,0.58,0.54,Mugg
Ramgati,mh,1,0.063,3.76,0.11,56.91,1.07,0.84,Mugg
Ramgati,mh,1,0.061,8.13,0.25,89.11,0.64,0.78,Rosun
Ramgati,mh,1,0.091,7.86,0.21,37.78,0.93,1.03,Mugg
Ramgati,mh,1,0.064,11.97,0.22,46.71,0.73,0.78,Mugg
Ramgati,mh,1,0.093,5.57,0.13,39.07,1.46,0.67,Mugg
Ramgati,mh,1,0.075,5.52,0.26,34.73,0.73,0.91,Mugg
Ramgati,mh,1,0.113,15.11,0.15,154.23,0.54,0.67,Rosun
Ramgati,mh,1,0.113,15.11,0.15,154.23,0.54,0.67,Rosun
Hatia,mh,1,0.083,11.77,0.23,42.73,0.69,0.82,Mugg
Hatia,mh,2,0.107,15.42,0.19,169.53,1.65,0.92,Rosun
Hatia,mh,1,0.066,6.46,0.39,37.94,0.72,0.91,Mugg
Hatia,mh,1,0.094,1.32,0.08,67.56,1.22,0.85,Rosun
Hatia,mh,1,0.075,3.95,0.14,121.61,0.61,0.9,Rosun
Nijhuri,hh,1,0.17,4.78,0.19,1.98,1.72,0.04,Kheshari
Nijhuri,hh,1,0.11,13.97,0.17,5.97,1.25,0.19,Mugg
Nijhuri,hh,1,0.15,17.29,0.3,12.62,2.57,0.45,Mugg
Nijhuri,hh,1,0.03,15.57,0.36,10.86,2.36,0.21,Mugg
Nijhuri,hh,1,0.13,16.87,0.2,8.05,2.34,0.47,Mugg
Nijhuri,hh,1,0.09,11.98,0.19,10.75,3.09,0.09,Mugg
Nijhuri,hh,1,0.09,33.87,0.15,6.43,2.57,0.18,Mugg
Amnura,mh,1,0.11,30,0.18,3.14,1.18,0.32,Mugg
Amnura,mh,1,0.14,14.32,0.16,15.03,1.08,0.3,Mugg
Amnura,mh,1,0.16,10.03,0.22,7.13,0.57,0.27,Mugg
Amnura,mh,1,0.08,29.36,0.23,5.27,1.88,0.29,Mugg
Nijhuri,mh,1,0.12,12.4,0.13,9.97,0.77,0.2,Mugg
Nijhuri,mh,1,0.13,21.51,0.15,3.1,1.6,0.58,Mugg
Nijhuri,mh,1,0.12,13.57,0.19,7.47,1.28,0.33,Mugg
Nijhuri,mh,1,0.11,32.9,0.37,42.14,2.01,2.1,Mugg
Nijhuri,mh,1,0.12,37.91,0.28,13.81,2.74,0.36,Mugg
Nijhuri,mh,1,0.19,19.81,0.15,7.36,1.56,0.4,Mugg
Nijhuri,mh,1,0.19,10.12,0.18,11.59,1.07,1.28,Mugg
Nijhuri,mh,1,0.17,28.17,0.13,6.9,3.43,0.39,Mugg
Amnura,mh,2,0.14,33.7,0.13,8.67,0.41,0.24,Mugg
Amnura,mh,2,0.17,16.66,0.17,7.9,0.91,0.87,Mugg
